"","SITE","DATE","Ammonia","Phosphate","DOC..mg.L.","TDN..mg.L.","Cl","SO4","Br","NO3.N","Temp.C","SPC.uS.cm","Pressure.mmHg","DO..","DO.mg.L","pH","E.Coli..CFU.per.100mL.","Na","K","Mg","Ca","MedianHHIn","Low_20thPHHIn","roadLength_km","roadDensity_kmkm2","pipeLength_km","pipeDensity_kmkm2","perMinority","gs_area","per_gs"
"13",13.2,2022-02-26,0.0159,0.0231,5.311,0.9757,30.69303234,23.2223641,0.68009011,0.76774152,8.9,347.8,765.4,91.9,10.26,7.3,730.8,NA,NA,NA,NA,27000,14000,49.42814445,14.61125001,31.62641804,9.348955052,17.74672489,1217363.443,0.359859789
"14",14.2,2022-02-26,0.033,0.0228,3.087,0.7441,24.28932098,17.09772592,0.57387367,0.6324622,NA,NA,NA,NA,NA,NA,378.4,NA,NA,NA,NA,25000,12000,34.00660092,15.61472034,26.71878237,12.26839211,19.02047162,594456.4119,0.272954967
"15",15.1,2022-02-26,0.0346,0.0289,6.05,0.6346,30.26831962,12.09401282,0.33569135,0.312247,9.6,225.3,765.4,112.2,12.7,7.43,NA,NA,NA,NA,NA,28000,17000,252.7243424,10.76906822,169.3635663,7.216905909,26.02260936,10688171.5,0.455443457
"16",16.1,2022-02-26,0.0293,0.0226,6.861,0.6194,28.97340128,12.1259059,0.36626881,0.294844,9.7,222.4,764.8,101.8,11.43,7.25,NA,NA,NA,NA,NA,27000,16000,275.8989672,10.29804325,182.0594298,6.795443642,30.362186,14196099.23,0.529875285
"17",17.2,2022-02-26,0.0287,0.005,7.665,0.5244,11.3663263,9.53089822,0.38397155,0.2142101,9.3,152.3,764.8,99.6,10.87,6.84,368.4,NA,NA,NA,NA,21000,10000,12.39632431,9.071526525,4.651347439,3.40381718,78.54477612,NA,NA
"18",18.2,2022-02-26,0.005,0.005,4.19,0.3663,12.07569902,15.9316838,0.45075916,0.1823046,9.3,373.7,765,70.9,8.14,7.31,2827.2,NA,NA,NA,NA,7000,5000,30.60825239,16.56895516,22.07222105,11.94820391,93.29529244,557208.4332,0.301629816
"19",19.2,2022-02-26,0.0303,0.0193,2.987,0.204,6.37082796,6.00087878,0.005,0.05382533,8.9,293.6,765.6,70.4,8.15,7.06,1732.8,NA,NA,NA,NA,7000,5000,58.628504,15.33988479,35.02211278,9.163378535,87.09801656,1311989.736,0.343276223
"20",20.2,2022-02-26,0.0538,0.0108,6.39,0.5071,26.17490882,18.5200795,0.66802006,0.2548171,8.7,299.8,765.3,73.4,8.52,6.93,177.6,NA,NA,NA,NA,9000,5000,55.71258042,13.81421723,21.05192798,5.219932447,96.82758621,850710.8676,0.21093808
"21",21.2,2022-02-26,0.0819,0.005,8.549,0.5321,53.3977986,12.44250306,0.83941477,0.20167994,9.1,414.3,765.9,92.5,10.67,6.94,391.2,NA,NA,NA,NA,15000,9000,26.03172358,13.38180703,7.762921104,3.990589095,89.07672302,2233450.002,1.148122093
"22",22.2,2022-02-26,0.0401,0.0104,5.817,0.4117,19.75354854,13.36740238,0.51191408,0.18555316,8.8,277.3,765.9,72.9,8.46,6.91,171.4,NA,NA,NA,NA,9000,5000,60.82038615,13.36253886,24.41956764,5.365099471,97.01715138,989586.3187,0.217416996
"23",23.2,2022-02-26,0.025,0.0129,6.188,0.4638,24.42424982,15.99430314,0.54007753,0.2176907,9.2,277.9,766.1,74.1,8.52,6.95,1226.2,NA,NA,NA,NA,8000,5000,62.41791225,13.44165884,38.28153959,8.2439059,86.43556895,1311989.736,0.282536179
"24",24.2,2022-02-26,0.0288,0.0113,7.048,0.6116,37.95584758,15.63920092,0.50467205,0.25470108,9.8,300.4,764.8,95.1,11.01,7.16,922.2,NA,NA,NA,NA,9000,5000,148.130188,11.51168109,76.61299943,5.953846606,90.26514418,4535026.056,0.352431698
"25",25.2,2022-02-26,0.005,0.0119,7.988,0.4025,16.7933692,8.98093706,0.53927286,0.12754316,8.6,214.6,765.8,75.3,8.78,7.06,313,NA,NA,NA,NA,55000,32200,13.44649632,6.804729856,4.564588821,2.309954437,71.84750733,NA,NA
"26",26.2,2022-02-26,0.0145,0.005,7.085,0.389,29.62100278,9.33798398,0.573069,0.15573602,9.2,258.3,764.6,92.6,10.41,7.11,214.1,NA,NA,NA,NA,47000,28000,31.15672085,8.337333755,9.333104171,2.497477344,73.50180505,NA,NA
"27",27.1,2022-02-26,0.0547,0.0144,7.08,0.6564,32.98568398,13.60115532,0.44271246,0.28173374,9.6,259.1,765.3,90,10.39,7.02,NA,NA,NA,NA,NA,23000,9000,446.1540814,9.949306991,272.0035669,6.065722813,51.98819509,18731125.28,0.417707074
"28",27.2,2022-02-26,0.0327,0.0116,9.037,0.6069,48.49282214,12.82171956,0.64307529,0.22418782,8.4,329.9,765.7,95.7,11.2,7.04,296.6,NA,NA,NA,NA,35000,25800,17.64594994,13.70505967,3.639702542,2.826843592,82.22222222,NA,NA
