Name,Latitude,Longitude,Elevation,County/City,Location,Sampling Frequency,Stream Name,Stream Order,River Mile,River Basin,Watershed,Drainage Area,Geology,HUC,State Route,US Station,DS Station,DWQ Ambient,USGS Gage,DENR Index No
NH4.3SC,,,,,Sandy Creek at Erwin Rd @ Duke Center for Living r,,Sandy Creek,2nd order,4.3,Cape Fear,New Hope Creek,,,3030002,,,,,,
NH4.4SCTD,,,,,Sandy Crk Trib D at Academy Road (north of Cranfor,,Sandy Creek Trib D,2nd order,4.4,Cape Fear,New Hope Creek,,TRc,3030002,,,NH3.3SC,,,
NH4.8SCTDT,35.995624,-78.93623,,,Sandy Crk Trib D at Duke University Rd.,,Sandy Creek Trib D,1st order,4.8,Cape Fear,New Hope Creek,,TRc,3030002,,,NH4.4SCTD,,,
NH5.0SCTD,35.994177,-78.932495,,,Sandy Crk Trib D at Anderson St.,,Sandy Creek Trib D,2nd order,5,Cape Fear,New Hope Creek,,TRc,3030002,,,NH4.4SCTD,,,
NH8.8NHC,35.992217,-79.045687,,Orange,New Hope Crk at Turkey Farm Rd.,,New Hope Creek,4th order,8.8,Cape Fear,New Hope Creek,22,Cz - Slate Belt,3030002,SR1730,,NH3.0NHC,,,
PN1.9PN,36.036904,-78.806474,,City,Cooksbury Road,Monthly,Panther Creek,3rd order,1.9,Neuse,Panther Creek,2.89,TRc,3020201,,,,,,
PN2.4PN,36.03392,-78.8125,,,Panther Crk at Burton Rd. between Geer St. and Che,,Panther Creek,3rd order,2.4,Neuse,Panther Creek,2.5,TRc,3020201,SR1818,,none,,,
SI1.6SIC,35.89749,-78.845983,,,Stirrup Iron Crk at Chin Page Rd.,,Stirrup Iron Creek,3rd order,1.6,Neuse,Stirrup Iron Creek,,TRc,3020201,,,none,,,
SI3.1SITB,,,,,Stirrup Iron Crk Trib B at On the upstrm side of M,,Stirrup Iron Creek Trib B,1st order,3.1,Neuse,Stirrup Iron Creek,,TRc,3020201,1959,,,,,
SI3.5SIC,,,,,Stirrup Iron Creek at Alexander Dr. dwnstrm discha,,Stirrup Iron Creek,2nd order,3.5,Neuse,Stirrup Iron Creek,,TRc,3020201,2028,,,,,
SI3.7SITC,,,,,Stirrup Iron Crk Trib C at East on Alexander Dr. o,,Stirrup Iron Creek Trib C,2nd order,3.7,Neuse,Stirrup Iron Creek,,TRc,3020201,2028,,,,,
TF0.0TC,35.911063,-78.960014,,,Third Fork Crk at Hwy 751.,,Third Fork Creek,3rd order,,Cape Fear,Third Fork Creek,16.5,TRc,3030002,751,,NH-2.7NHC,,,
TF0.7TC,35.916846,-78.970332,,Durham,NC Hwy 54.,,Third Fork Creek,3rd order,0.7,Cape Fear,Third Fork Creek,,,,,,TF0.0TC,,,
TF1.0TC,35.9226,-78.9524,,,Woodcroft Rd.,,Third Fork Cr.,,1,Cape Fear,Third Fork Creek,,,,,,,,,
TF2.0TCTC,35.935027,-78.948559,,,"Trib C at Hope Valley Rd @ Rugby Rd, downstream of",,Third Fork Creek Trib C,2nd order,2,Cape Fear,Third Fork Creek,,TRc,3030002,,,,,,
TF2.5TCTC,,,,,Third Fork Crk Trib C at Dover Rd & Coventry Rd,,Third Fork Creek Trib C,2nd order,2.5,Cape Fear,Third Fork Creek,,TRc,3030002,,,TF0.0TC,,,
TF3.4TC,35.951847,-78.926658,,,Third Fork Creek at Martin Luther King Jr Pkwy @ P,,Third Fork Creek,3rd order,3.4,Cape Fear,Third Fork Creek,,TRc,3030002,,,,,,
TF4.4TC,35.964025,-78.913531,,,Third Fork Crk at Weaver St.,,Third Fork Creek,3rd order,4.4,Cape Fear,Third Fork Creek,,TRc,3030002,,,TF3.0TC,,,
TF5.1RC,35.963075,-78.901152,,,Rock Crk at Elmira St.,,Rock Creek,2nd order,5.1,Cape Fear,Third Fork Creek,,TRc,3030002,,,TF3.0TC,,,
TF5.3RC,35.96387,-78.898492,,Durham,Corona Street,,Rock Creek,,,Cape Fear,Third Fork Creek,,,,,,,,,
TF5.4TC,35.978,-78.9129,,Durham,Third Fork Creek at Forestwood Dr.,Monthly,Third Fork Creek,3,5.4,Cape Fear,Cape Fear,1.81,TRc - Triassic,3030002,,,TF4.4TC,,,
TF5.6TC,35.979349,-78.91464,,,Third Fork Crk at Forest Hills Blvd (in Park),,Third Fork Creek,1st order,5.6,Cape Fear,Third Fork Creek,,TRc,3030002,,,TF4.4TC,,,
TF6.5RCUT,35.976732,-78.889159,,,Rock Crk Unnamed Trib at Sima Ave.,,Rock Creek Unnamed Trib,1st order,6.5,Cape Fear,Third Fork Creek,,TRc,3030002,,,TC5.9RCUT,,,
